epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
97,3043.81,1.53288,0.74134,0.98882,0.91861,0.91031,0.93634,0.53006,1.43943,0.64539,0.97405,0.0007328,0.0007328,0.0007328
98,3075.18,1.48037,0.72566,0.97929,0.94348,0.92825,0.95122,0.53149,1.42895,0.64882,0.97154,0.0007196,0.0007196,0.0007196
99,3106.53,1.45616,0.71631,0.97319,0.91813,0.92377,0.93926,0.53731,1.41105,0.63829,0.97292,0.0007064,0.0007064,0.0007064
100,3137.98,1.4877,0.73524,0.97343,0.91643,0.92377,0.9312,0.52507,1.44941,0.63216,0.96555,0.0006932,0.0006932,0.0006932
101,3169.37,1.49937,0.75179,0.97621,0.92521,0.94306,0.94482,0.53196,1.448,0.64831,0.97225,0.00068,0.00068,0.00068
102,3200.76,1.48195,0.72415,0.97116,0.93797,0.93274,0.95182,0.53272,1.42403,0.63531,0.96378,0.0006668,0.0006668,0.0006668
103,3232.13,1.45328,0.71011,0.96736,0.93925,0.91928,0.93916,0.52833,1.42546,0.63696,0.96918,0.0006536,0.0006536,0.0006536
104,3263.49,1.47641,0.69769,0.96873,0.9273,0.93274,0.94008,0.52967,1.44083,0.64308,0.97782,0.0006404,0.0006404,0.0006404
105,3294.86,1.46401,0.71381,0.97274,0.9381,0.95143,0.95668,0.53095,1.42535,0.623,0.96528,0.0006272,0.0006272,0.0006272
106,3326.22,1.46511,0.70879,0.97557,0.91121,0.92039,0.93624,0.5185,1.43305,0.63182,0.97044,0.000614,0.000614,0.000614
107,3357.57,1.46289,0.71335,0.96745,0.91933,0.91986,0.93874,0.53172,1.43604,0.63475,0.9754,0.0006008,0.0006008,0.0006008
108,3388.93,1.45776,0.71783,0.96429,0.90885,0.92825,0.93215,0.52336,1.42967,0.6241,0.97697,0.0005876,0.0005876,0.0005876
109,3420.31,1.46835,0.71889,0.96633,0.91547,0.92271,0.93543,0.54473,1.3724,0.60133,0.9651,0.0005744,0.0005744,0.0005744
110,3451.8,1.45316,0.71712,0.95992,0.92264,0.91928,0.94386,0.52219,1.41518,0.63194,0.97456,0.0005612,0.0005612,0.0005612
111,3483.15,1.41828,0.70097,0.95219,0.92107,0.91928,0.93818,0.50518,1.48701,0.65053,0.98861,0.000548,0.000548,0.000548
112,3514.55,1.44865,0.71502,0.96365,0.92624,0.92377,0.94244,0.53389,1.41251,0.62368,0.97049,0.0005348,0.0005348,0.0005348
113,3545.91,1.43138,0.70661,0.95693,0.91331,0.91031,0.93635,0.53432,1.40099,0.63146,0.96783,0.0005216,0.0005216,0.0005216
114,3577.19,1.41959,0.67213,0.94895,0.92165,0.92825,0.94237,0.53804,1.43072,0.61,0.96652,0.0005084,0.0005084,0.0005084
115,3608.56,1.42131,0.67263,0.95634,0.90675,0.92377,0.93,0.53076,1.43965,0.62649,0.97356,0.0004952,0.0004952,0.0004952
116,3639.93,1.41053,0.69,0.96702,0.91127,0.9148,0.93706,0.51704,1.45023,0.6238,0.98372,0.000482,0.000482,0.000482
117,3671.31,1.43626,0.69237,0.95088,0.90957,0.9417,0.95068,0.53025,1.44169,0.61579,0.99082,0.0004688,0.0004688,0.0004688
118,3702.62,1.39713,0.66963,0.95152,0.94153,0.93873,0.95184,0.537,1.44399,0.6106,0.97988,0.0004556,0.0004556,0.0004556
119,3733.96,1.41281,0.67107,0.94618,0.92439,0.91928,0.94567,0.52254,1.44953,0.61518,0.98477,0.0004424,0.0004424,0.0004424
120,3765.33,1.41829,0.67713,0.95351,0.92131,0.94504,0.94375,0.53162,1.43214,0.61608,0.9842,0.0004292,0.0004292,0.0004292
